word10,key/tea,key/tea,attack/a cat,attack/a cat,rack/rat,rack/rat,dye/guy,dye/guy,fiddle/giggle,fiddle/giggle,tad/tag,tad/tag,vat/bat,vat/bat,over/a bear,over/a bear,nub/nerve,nub/nerve,thresh/fresh,thresh/fresh,filthy/fluffy,filthy/fluffy,teeth/leaf,teeth/leaf
word11,kick/tick,kick/tick,star/scar,star/scar,shock/short,shock/short,do/goo,do/goo,puddle/wiggle,puddle/wiggle,dud/dug,dud/dug,v/bee,v/bee,beaver/bubble,beaver/bubble,robe/rove,robe/rove,thrill/frill,thrill/frill,pathway/perfume,pathway/perfume,mouth/muff,mouth/muff
word12,corn/torn,corn/torn,baiter/baker,baiter/baker,sick/sit,sick/sit,dale/gale,dale/gale,huddle/hugging,huddle/hugging,lad/lag,lad/lag,vet/bet,vet/bet,travel/table,travel/table,slab/save,slab/save,thumb/fun,thumb/fun,wealthy/waffle,wealthy/waffle,health/half,health/half
word13,kale/tail,kale/tail,,,,,,,,,,,view/boo,view/boo,,,web/wave,web/wave,,,,,,
word14,cool/tool,cool/tool,,,,,,,,,,,vole/bowl,vole/bowl,,,cube/move,cube/move,,,,,,
,,,,,,,,,,,,,vane/bane,vane/bane,,,rib/hive,rib/hive,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
setID,s/sh-si,s/sh-shi,s/sh-sm,s/sh-shm,s/sh-sf,s/sh-shf,l/w-li,l/w-wi,l/w-lm,l/w-lm,l/w-lf,l/w-wf,t/d-ti,t/d-di,t/d-tm,t/d-dm,t/d-tf,t/d-df,th/v-thi,th/v-vi,th/v-thm,th/v-vm,th/v-thf,th/v-vf
setLabel,S/SH Minimal Pairs - Initial S,S/SH Minimal Pairs - Initial SH,S/SH Minimal Pairs - Medial S,S/SH Minimal Pairs - Medial SH,S/SH Minimal Pairs - Final S,S/SH Minimal Pairs - Final SH,L/W Minimal Pairs - Initial L,L/W Minimal Pairs - Initial W,L/W Minimal Pairs - Medial L,L/W Minimal Pairs - Medial W,L/W Minimal Pairs - Final L,L/W Minimal Pairs - Final W,T/D Minimal Pairs - Initial T,T/D Minimal Pairs - Initial D,T/D Minimal Pairs - Medial T,T/D Minimal Pairs - Medial D,T/D Minimal Pairs - Final T,T/D Minimal Pairs - Final D,TH/V Minimal Pairs - Initial TH,TH/V Minimal Pairs - Initial V,TH/V Minimal Pairs - Medial TH,TH/V Minimal Pairs - Medial V,TH/V Minimal Pairs - Final TH,TH/V Minimal Pairs - Final V
prompt,Which word has the /s/ sound?,Which word has the /sh/ sound?,Which word has the /s/ sound?,Which word has the /sh/ sound?,Which word has the /s/ sound?,Which word has the /sh/ sound?,Which word has the /l/ sound?,Which word has the /w/ sound?,Which word has the /l/ sound?,Which word has the /w/ sound?,Which word has the /l/ sound?,Which word has the /w/ sound?,Which word has the /t/ sound?,Which word has the /d/ sound?,Which word has the /t/ sound?,Which word has the /d/ sound?,Which word has the /t/ sound?,Which word has the /d/ sound?,Which word has the /th/ sound?,Which word has the /v/ sound?,Which word has the /th/ sound?,Which word has the /v/ sound?,Which word has the /th/ sound?,Which word has the /v/ sound?
