phonological_process,process_category,sound_a,sound_b,position,folder_name,folder_name_slash
Stopping,Substitution,DH,P,Medial,DH-P Minimal Pairs - Medial,DH/P Minimal Pairs - Medial
Stopping,Substitution,DH,T,Final,DH-T Minimal Pairs - Final,DH/T Minimal Pairs - Final
Stopping,Substitution,DH,T,Initial,DH-T Minimal Pairs - Initial,DH/T Minimal Pairs - Initial
Stopping,Substitution,DH,T,Medial,DH-T Minimal Pairs - Medial,DH/T Minimal Pairs - Medial
Cluster Reduction,Syllable Structure,DR,D,Initial,DR Cluster Minimal Pairs - Initial,DR Cluster Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,F,(deleted),Final,Final F Minimal Pairs - Final,F/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,F,(deleted),Initial,Initial F Minimal Pairs - Initial,F/(deleted) Minimal Pairs - Initial
Stopping,Substitution,F,B,Final,F-B Minimal Pairs - Final,F/B Minimal Pairs - Final
Stopping,Substitution,F,B,Initial,F-B Minimal Pairs - Initial,F/B Minimal Pairs - Initial
Stopping,Substitution,F,B,Medial,F-B Minimal Pairs - Medial,F/B Minimal Pairs - Medial
Stopping,Substitution,F,D,Final,F-D Minimal Pairs - Final,F/D Minimal Pairs - Final
Stopping,Substitution,F,D,Initial,F-D Minimal Pairs - Initial,F/D Minimal Pairs - Initial
Stopping,Substitution,F,D,Medial,F-D Minimal Pairs - Medial,F/D Minimal Pairs - Medial
Stopping,Substitution,F,G,Final,F-G Minimal Pairs - Final,F/G Minimal Pairs - Final
Stopping,Substitution,F,G,Initial,F-G Minimal Pairs - Initial,F/G Minimal Pairs - Initial
Stopping,Substitution,F,G,Medial,F-G Minimal Pairs - Medial,F/G Minimal Pairs - Medial
Stopping,Substitution,F,K,Final,F-K Minimal Pairs - Final,F/K Minimal Pairs - Final
Stopping,Substitution,F,K,Initial,F-K Minimal Pairs - Initial,F/K Minimal Pairs - Initial
Stopping,Substitution,F,K,Medial,F-K Minimal Pairs - Medial,F/K Minimal Pairs - Medial
Stopping,Substitution,F,P,Final,F-P Minimal Pairs - Final,F/P Minimal Pairs - Final
Stopping,Substitution,F,P,Initial,F-P Minimal Pairs - Initial,F/P Minimal Pairs - Initial
Stopping,Substitution,F,P,Medial,F-P Minimal Pairs - Medial,F/P Minimal Pairs - Medial
Stopping,Substitution,F,T,Final,F-T Minimal Pairs - Final,F/T Minimal Pairs - Final
Stopping,Substitution,F,T,Initial,F-T Minimal Pairs - Initial,F/T Minimal Pairs - Initial
Stopping,Substitution,F,T,Medial,F-T Minimal Pairs - Medial,F/T Minimal Pairs - Medial
Prevocalic Voicing,Assimilation,F,V,Initial,F-V Minimal Pairs - Initial,F/V Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,FL,F,Initial,FL Cluster Minimal Pairs - Initial,FL Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,FR,F,Initial,FR Cluster Minimal Pairs - Initial,FR Cluster Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,G,(deleted),Final,Final G Minimal Pairs - Final,G/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,G,(deleted),Initial,Initial G Minimal Pairs - Initial,G/(deleted) Minimal Pairs - Initial
Fronting,Substitution,G,D,Final,G-D Minimal Pairs - Final,G/D Minimal Pairs - Final
Fronting,Substitution,G,D,Initial,G-D Minimal Pairs - Initial,G/D Minimal Pairs - Initial
