phonological_process,process_category,sound_a,sound_b,position,folder_name,folder_name_slash
Labialization,Substitution,TH,F,Initial,TH-F Minimal Pairs - Initial,TH/F Minimal Pairs - Initial
Labialization,Substitution,TH,F,Medial,TH-F Minimal Pairs - Medial,TH/F Minimal Pairs - Medial
Stopping,Substitution,TH,G,Final,TH-G Minimal Pairs - Final,TH/G Minimal Pairs - Final
Stopping,Substitution,TH,G,Initial,TH-G Minimal Pairs - Initial,TH/G Minimal Pairs - Initial
Stopping,Substitution,TH,G,Medial,TH-G Minimal Pairs - Medial,TH/G Minimal Pairs - Medial
Stopping,Substitution,TH,K,Final,TH-K Minimal Pairs - Final,TH/K Minimal Pairs - Final
Stopping,Substitution,TH,K,Initial,TH-K Minimal Pairs - Initial,TH/K Minimal Pairs - Initial
Stopping,Substitution,TH,K,Medial,TH-K Minimal Pairs - Medial,TH/K Minimal Pairs - Medial
Stopping,Substitution,TH,P,Final,TH-P Minimal Pairs - Final,TH/P Minimal Pairs - Final
Stopping,Substitution,TH,P,Initial,TH-P Minimal Pairs - Initial,TH/P Minimal Pairs - Initial
Stopping,Substitution,TH,P,Medial,TH-P Minimal Pairs - Medial,TH/P Minimal Pairs - Medial
Stopping,Substitution,TH,T,Final,TH-T Minimal Pairs - Final,TH/T Minimal Pairs - Final
Stopping,Substitution,TH,T,Initial,TH-T Minimal Pairs - Initial,TH/T Minimal Pairs - Initial
Stopping,Substitution,TH,T,Medial,TH-T Minimal Pairs - Medial,TH/T Minimal Pairs - Medial
Cluster Reduction,Syllable Structure,TR,T,Initial,TR Cluster Minimal Pairs - Initial,TR Cluster Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,V,(deleted),Final,Final V Minimal Pairs - Final,V/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,V,(deleted),Initial,Initial V Minimal Pairs - Initial,V/(deleted) Minimal Pairs - Initial
Stopping,Substitution,V,B,Final,V-B Minimal Pairs - Final,V/B Minimal Pairs - Final
Stopping,Substitution,V,B,Initial,V-B Minimal Pairs - Initial,V/B Minimal Pairs - Initial
Stopping,Substitution,V,B,Medial,V-B Minimal Pairs - Medial,V/B Minimal Pairs - Medial
Stopping,Substitution,V,D,Final,V-D Minimal Pairs - Final,V/D Minimal Pairs - Final
Stopping,Substitution,V,D,Initial,V-D Minimal Pairs - Initial,V/D Minimal Pairs - Initial
Stopping,Substitution,V,D,Medial,V-D Minimal Pairs - Medial,V/D Minimal Pairs - Medial
Final Consonant Devoicing,Assimilation,V,F,Final,V-F Minimal Pairs - Final,V/F Minimal Pairs - Final
Stopping,Substitution,V,G,Final,V-G Minimal Pairs - Final,V/G Minimal Pairs - Final
Stopping,Substitution,V,G,Initial,V-G Minimal Pairs - Initial,V/G Minimal Pairs - Initial
Stopping,Substitution,V,G,Medial,V-G Minimal Pairs - Medial,V/G Minimal Pairs - Medial
Stopping,Substitution,V,K,Final,V-K Minimal Pairs - Final,V/K Minimal Pairs - Final
Stopping,Substitution,V,K,Initial,V-K Minimal Pairs - Initial,V/K Minimal Pairs - Initial
Stopping,Substitution,V,K,Medial,V-K Minimal Pairs - Medial,V/K Minimal Pairs - Medial
Stopping,Substitution,V,P,Final,V-P Minimal Pairs - Final,V/P Minimal Pairs - Final
Stopping,Substitution,V,P,Initial,V-P Minimal Pairs - Initial,V/P Minimal Pairs - Initial
Stopping,Substitution,V,P,Medial,V-P Minimal Pairs - Medial,V/P Minimal Pairs - Medial
Stopping,Substitution,V,T,Final,V-T Minimal Pairs - Final,V/T Minimal Pairs - Final
Stopping,Substitution,V,T,Initial,V-T Minimal Pairs - Initial,V/T Minimal Pairs - Initial
Stopping,Substitution,V,T,Medial,V-T Minimal Pairs - Medial,V/T Minimal Pairs - Medial
Initial Consonant Deletion,Syllable Structure,W,(deleted),Initial,Initial W Minimal Pairs - Initial,W/(deleted) Minimal Pairs - Initial
Initial Consonant Deletion,Syllable Structure,Y,(deleted),Initial,Initial Y Minimal Pairs - Initial,Y/(deleted) Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,Z,(deleted),Final,Final Z Minimal Pairs - Final,Z/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,Z,(deleted),Initial,Initial Z Minimal Pairs - Initial,Z/(deleted) Minimal Pairs - Initial
Stopping,Substitution,Z,B,Final,Z-B Minimal Pairs - Final,Z/B Minimal Pairs - Final
Stopping,Substitution,Z,B,Initial,Z-B Minimal Pairs - Initial,Z/B Minimal Pairs - Initial
Stopping,Substitution,Z,B,Medial,Z-B Minimal Pairs - Medial,Z/B Minimal Pairs - Medial
Stopping,Substitution,Z,D,Final,Z-D Minimal Pairs - Final,Z/D Minimal Pairs - Final
Stopping,Substitution,Z,D,Initial,Z-D Minimal Pairs - Initial,Z/D Minimal Pairs - Initial
Stopping,Substitution,Z,D,Medial,Z-D Minimal Pairs - Medial,Z/D Minimal Pairs - Medial
Stopping,Substitution,Z,G,Final,Z-G Minimal Pairs - Final,Z/G Minimal Pairs - Final
Stopping,Substitution,Z,G,Initial,Z-G Minimal Pairs - Initial,Z/G Minimal Pairs - Initial
Stopping,Substitution,Z,G,Medial,Z-G Minimal Pairs - Medial,Z/G Minimal Pairs - Medial
Stopping,Substitution,Z,K,Final,Z-K Minimal Pairs - Final,Z/K Minimal Pairs - Final
Stopping,Substitution,Z,K,Initial,Z-K Minimal Pairs - Initial,Z/K Minimal Pairs - Initial
Stopping,Substitution,Z,K,Medial,Z-K Minimal Pairs - Medial,Z/K Minimal Pairs - Medial
Stopping,Substitution,Z,P,Final,Z-P Minimal Pairs - Final,Z/P Minimal Pairs - Final
Stopping,Substitution,Z,P,Initial,Z-P Minimal Pairs - Initial,Z/P Minimal Pairs - Initial
Stopping,Substitution,Z,P,Medial,Z-P Minimal Pairs - Medial,Z/P Minimal Pairs - Medial
Final Consonant Devoicing,Assimilation,Z,S,Final,Z-S Minimal Pairs - Final,Z/S Minimal Pairs - Final
Stopping,Substitution,Z,T,Final,Z-T Minimal Pairs - Final,Z/T Minimal Pairs - Final
Stopping,Substitution,Z,T,Initial,Z-T Minimal Pairs - Initial,Z/T Minimal Pairs - Initial
Stopping,Substitution,Z,T,Medial,Z-T Minimal Pairs - Medial,Z/T Minimal Pairs - Medial
Stopping,Substitution,ZH,B,Final,ZH-B Minimal Pairs - Final,ZH/B Minimal Pairs - Final
Stopping,Substitution,ZH,B,Initial,ZH-B Minimal Pairs - Initial,ZH/B Minimal Pairs - Initial
Stopping,Substitution,ZH,B,Medial,ZH-B Minimal Pairs - Medial,ZH/B Minimal Pairs - Medial
Stopping,Substitution,ZH,D,Final,ZH-D Minimal Pairs - Final,ZH/D Minimal Pairs - Final
Stopping,Substitution,ZH,D,Initial,ZH-D Minimal Pairs - Initial,ZH/D Minimal Pairs - Initial
Stopping,Substitution,ZH,D,Medial,ZH-D Minimal Pairs - Medial,ZH/D Minimal Pairs - Medial
Stopping,Substitution,ZH,G,Final,ZH-G Minimal Pairs - Final,ZH/G Minimal Pairs - Final
Stopping,Substitution,ZH,G,Initial,ZH-G Minimal Pairs - Initial,ZH/G Minimal Pairs - Initial
Stopping,Substitution,ZH,G,Medial,ZH-G Minimal Pairs - Medial,ZH/G Minimal Pairs - Medial
Stopping,Substitution,ZH,K,Final,ZH-K Minimal Pairs - Final,ZH/K Minimal Pairs - Final
Stopping,Substitution,ZH,K,Initial,ZH-K Minimal Pairs - Initial,ZH/K Minimal Pairs - Initial
Stopping,Substitution,ZH,K,Medial,ZH-K Minimal Pairs - Medial,ZH/K Minimal Pairs - Medial
Stopping,Substitution,ZH,P,Final,ZH-P Minimal Pairs - Final,ZH/P Minimal Pairs - Final
Stopping,Substitution,ZH,P,Initial,ZH-P Minimal Pairs - Initial,ZH/P Minimal Pairs - Initial
Stopping,Substitution,ZH,P,Medial,ZH-P Minimal Pairs - Medial,ZH/P Minimal Pairs - Medial
Stopping,Substitution,ZH,T,Final,ZH-T Minimal Pairs - Final,ZH/T Minimal Pairs - Final
Stopping,Substitution,ZH,T,Initial,ZH-T Minimal Pairs - Initial,ZH/T Minimal Pairs - Initial
Stopping,Substitution,ZH,T,Medial,ZH-T Minimal Pairs - Medial,ZH/T Minimal Pairs - Medial
